Player Name,Sleeper ID,was keeper,2023 keeper round,was drafted,draft round,was dropped,on same roster,was undrafted,designation,2024 keeper round
,,,,,,,,,,
T-Money,,,,,,,,,,
Ivan Pace,11086,FALSE,,FALSE,,TRUE,FALSE,TRUE,undrafted or dropped,22
Bobby Wagner,1233,FALSE,6,TRUE,17,FALSE,TRUE,FALSE,drafted,13
Keenan Allen,1479,FALSE,1,TRUE,3,FALSE,FALSE,FALSE,drafted,2
Amari Cooper,2309,FALSE,5,TRUE,5,FALSE,TRUE,FALSE,drafted,4
Tyler Lockett,2374,FALSE,8,TRUE,10,FALSE,FALSE,FALSE,drafted,8
Darren Waller,2505,FALSE,5,TRUE,3,FALSE,TRUE,FALSE,drafted,2
David Njoku,4033,FALSE,16,TRUE,13,TRUE,FALSE,FALSE,undrafted or dropped,14
Aaron Jones,4199,TRUE,5,TRUE,6,FALSE,FALSE,FALSE,keeper,4
Matthew Stafford,421,FALSE,2,TRUE,13,FALSE,FALSE,FALSE,drafted,10
Minkah Fitzpatrick,4963,FALSE,9,TRUE,13,TRUE,FALSE,FALSE,undrafted or dropped,22
Hollywood Brown,5848,FALSE,11,TRUE,14,FALSE,TRUE,FALSE,drafted,11
A.J. Brown,5859,TRUE,1,TRUE,2,FALSE,FALSE,FALSE,keeper,1
Tony Pollard,5967,TRUE,4,TRUE,5,FALSE,FALSE,FALSE,keeper,3
Justin Jefferson,6794,TRUE,8,TRUE,12,FALSE,TRUE,FALSE,keeper,6
Jonathan Taylor,6813,TRUE,1,TRUE,2,FALSE,TRUE,FALSE,keeper,1
Jalen Hurts,6904,TRUE,2,TRUE,3,FALSE,FALSE,FALSE,keeper,1
Rico Dowdle,7021,FALSE,,FALSE,,TRUE,FALSE,TRUE,undrafted or dropped,22
Najee Harris,7528,TRUE,1,TRUE,3,FALSE,TRUE,FALSE,keeper,1
Rhamondre Stevenson,7611,TRUE,7,TRUE,10,FALSE,TRUE,FALSE,keeper,5
Ernest Jones,7672,FALSE,,FALSE,,FALSE,FALSE,TRUE,undrafted or dropped,17
Camryn Bynum,7715,FALSE,,FALSE,,TRUE,FALSE,TRUE,undrafted or dropped,22
Chris Olave,8144,FALSE,7,TRUE,1,FALSE,FALSE,FALSE,drafted,1
Jerome Ford,8143,FALSE,,FALSE,,FALSE,FALSE,TRUE,undrafted or dropped,22
Bryce Young,9228,FALSE,,TRUE,7,TRUE,FALSE,FALSE,undrafted or dropped,19
Jaren Hall,9231,FALSE,,FALSE,,FALSE,FALSE,TRUE,undrafted or dropped,22
,,,,,,,,,,
tjdodson07,,,,,,,,,,
Jayden Reed,10222,FALSE,,TRUE,19,TRUE,TRUE,FALSE,drafted,14
Dalton Kincaid,10236,FALSE,,TRUE,9,FALSE,TRUE,FALSE,drafted,7
Dak Prescott,3294,FALSE,5,TRUE,4,FALSE,FALSE,FALSE,drafted,3
Chris Godwin,4037,FALSE,2,TRUE,6,FALSE,FALSE,FALSE,drafted,5
Kenny Moore,4427,FALSE,,FALSE,,TRUE,FALSE,TRUE,undrafted or dropped,22
Baker Mayfield,4892,FALSE,22,FALSE,,TRUE,FALSE,TRUE,undrafted or dropped,16
Alexander Mattison,5987,TRUE,10,TRUE,11,FALSE,TRUE,FALSE,keeper,8
Dre Greenlaw,6056,FALSE,20,FALSE,,FALSE,FALSE,TRUE,undrafted or dropped,22
Jake Browning,6111,FALSE,,FALSE,,FALSE,FALSE,TRUE,undrafted or dropped,22
Miles Sanders,6151,FALSE,7,TRUE,5,TRUE,FALSE,FALSE,undrafted or dropped,22
Joe Burrow,6770,TRUE,1,TRUE,4,FALSE,TRUE,FALSE,keeper,1
Patrick Queen,6807,FALSE,,TRUE,13,TRUE,TRUE,FALSE,drafted,10
Trevon Diggs,6809,TRUE,20,TRUE,20,TRUE,TRUE,FALSE,keeper,15
Michael Pittman,6819,FALSE,7,TRUE,6,FALSE,TRUE,FALSE,drafted,5
Cole Kmet,6826,FALSE,22,FALSE,,TRUE,FALSE,TRUE,undrafted or dropped,18
Josh Metellus,6901,FALSE,,FALSE,,TRUE,FALSE,TRUE,undrafted or dropped,22
Travis Etienne,7543,TRUE,8,TRUE,9,FALSE,TRUE,FALSE,keeper,6
Ja'Marr Chase,7564,TRUE,1,TRUE,3,FALSE,TRUE,FALSE,keeper,1
Javonte Williams,7588,FALSE,1,TRUE,5,FALSE,TRUE,FALSE,drafted,4
Talanoa Hufanga,7811,FALSE,20,TRUE,16,FALSE,TRUE,FALSE,drafted,12
Brian Robinson,8154,FALSE,11,TRUE,11,FALSE,TRUE,FALSE,drafted,8
Quay Walker,8266,FALSE,,TRUE,17,FALSE,TRUE,FALSE,drafted,13
Reed Blankenship,8406,FALSE,,FALSE,,FALSE,FALSE,TRUE,undrafted or dropped,22
Puka Nacua,9493,FALSE,,FALSE,,FALSE,FALSE,TRUE,undrafted or dropped,6
,,,,,,,,,,
sbaker057,,,,,,,,,,
Aidan O'Connell,10866,FALSE,,FALSE,,TRUE,FALSE,TRUE,undrafted or dropped,22
Jordan Hicks,2389,FALSE,20,TRUE,13,TRUE,FALSE,FALSE,undrafted or dropped,22
Stefon Diggs,2449,TRUE,3,TRUE,6,FALSE,FALSE,FALSE,keeper,2
Austin Ekeler,4663,TRUE,1,TRUE,1,FALSE,FALSE,FALSE,keeper,1
Lamar Jackson,4881,TRUE,1,TRUE,1,FALSE,TRUE,FALSE,keeper,1
Mark Andrews,5012,FALSE,1,TRUE,1,FALSE,TRUE,FALSE,drafted,1
Deebo Samuel,5872,TRUE,4,TRUE,4,FALSE,FALSE,FALSE,keeper,3
Devin Singletary,6130,FALSE,11,FALSE,,TRUE,FALSE,TRUE,undrafted or dropped,19
Azeez Al-Shaair,6485,FALSE,,FALSE,,TRUE,FALSE,TRUE,undrafted or dropped,22
Brandon Aiyuk,6803,FALSE,8,TRUE,6,FALSE,TRUE,FALSE,drafted,5
J.K. Dobbins,6806,TRUE,11,TRUE,12,FALSE,TRUE,FALSE,keeper,8
Clyde Edwards-Helaire,6820,FALSE,22,FALSE,,FALSE,FALSE,TRUE,undrafted or dropped,22
Zack Moss,6845,FALSE,22,FALSE,,TRUE,FALSE,TRUE,undrafted or dropped,18
Kyle Dugger,6872,FALSE,,TRUE,22,TRUE,FALSE,FALSE,undrafted or dropped,22
Antoine Winfield,6888,FALSE,,TRUE,22,FALSE,TRUE,FALSE,drafted,17
DeVonta Smith,7525,FALSE,1,TRUE,1,FALSE,TRUE,FALSE,drafted,1
Micah Parsons,7640,TRUE,10,TRUE,11,FALSE,TRUE,FALSE,keeper,8
Jahan Dotson,8119,FALSE,10,TRUE,9,FALSE,TRUE,FALSE,drafted,7
Isaiah Likely,8131,FALSE,22,FALSE,,FALSE,FALSE,TRUE,undrafted or dropped,22
George Pickens,8137,TRUE,11,TRUE,12,FALSE,TRUE,FALSE,keeper,8
Brock Purdy,8183,FALSE,20,TRUE,13,FALSE,FALSE,FALSE,drafted,10
Isiah Pacheco,8205,TRUE,16,TRUE,16,FALSE,TRUE,FALSE,keeper,12
Kyle Hamilton,8339,FALSE,,TRUE,18,TRUE,FALSE,FALSE,undrafted or dropped,17
Tyjae Spears,9508,FALSE,,TRUE,18,FALSE,TRUE,FALSE,drafted,14
,,,,,,,,,,
zwade,,,,,,,,,,
Roschon Johnson,10235,FALSE,,TRUE,16,FALSE,TRUE,FALSE,drafted,12
C.J. Mosley,1875,TRUE,10,TRUE,10,FALSE,TRUE,FALSE,keeper,8
Jared Goff,3163,FALSE,11,TRUE,8,FALSE,TRUE,FALSE,drafted,6
Tyler Boyd,3225,FALSE,14,TRUE,18,FALSE,TRUE,FALSE,drafted,14
Cooper Kupp,4039,TRUE,3,TRUE,3,FALSE,TRUE,FALSE,keeper,2
Curtis Samuel,4082,FALSE,,FALSE,,TRUE,FALSE,TRUE,undrafted or dropped,22
Rayshawn Jenkins,4180,FALSE,,FALSE,,TRUE,FALSE,TRUE,undrafted or dropped,22
Noah Brown,4234,FALSE,,FALSE,,TRUE,FALSE,TRUE,undrafted or dropped,22
Tremaine Edmunds,4968,FALSE,20,FALSE,,TRUE,FALSE,TRUE,undrafted or dropped,22
Robert Spillane,5726,FALSE,,FALSE,,TRUE,FALSE,TRUE,undrafted or dropped,22
T.J. Hockenson,5844,FALSE,5,TRUE,2,FALSE,TRUE,FALSE,drafted,1
Tua Tagovailoa,6768,FALSE,5,TRUE,5,FALSE,TRUE,FALSE,drafted,4
CeeDee Lamb,6786,TRUE,4,TRUE,4,FALSE,TRUE,FALSE,keeper,3
Xavier McKinney,6788,FALSE,,FALSE,,TRUE,FALSE,TRUE,undrafted or dropped,21
Chuba Hubbard,7594,FALSE,22,FALSE,,TRUE,FALSE,TRUE,undrafted or dropped,22
Joshua Palmer,7670,FALSE,22,FALSE,,TRUE,FALSE,TRUE,undrafted or dropped,22
Khalil Shakir,8134,FALSE,,FALSE,,TRUE,FALSE,TRUE,undrafted or dropped,22
Rachaad White,8136,FALSE,12,TRUE,6,FALSE,TRUE,FALSE,drafted,5
Breece Hall,8155,FALSE,1,TRUE,1,FALSE,TRUE,FALSE,drafted,1
Kenny Pickett,8160,TRUE,15,TRUE,15,FALSE,TRUE,FALSE,keeper,11
De'Von Achane,9226,FALSE,,TRUE,13,FALSE,TRUE,FALSE,drafted,10
Tucker Kraft,9484,FALSE,,FALSE,,FALSE,FALSE,TRUE,undrafted or dropped,22
Parker Washington,9487,FALSE,,FALSE,,FALSE,FALSE,TRUE,undrafted or dropped,22
Tank Dell,9502,FALSE,,FALSE,,FALSE,FALSE,TRUE,undrafted or dropped,11
Keaton Mitchell,9511,FALSE,,FALSE,,TRUE,FALSE,TRUE,undrafted or dropped,22
,,,,,,,,,,
stoneshewmake6,,,,,,,,,,
Rashee Rice,10229,FALSE,,TRUE,19,FALSE,TRUE,FALSE,drafted,14
Devon Witherspoon,10891,FALSE,,TRUE,22,FALSE,TRUE,FALSE,drafted,17
Russell Wilson,1234,FALSE,5,TRUE,8,FALSE,TRUE,FALSE,drafted,6
Jordan Poyer,1343,FALSE,11,TRUE,20,TRUE,FALSE,FALSE,undrafted or dropped,22
Latavius Murray,1476,FALSE,22,FALSE,,TRUE,FALSE,TRUE,undrafted or dropped,22
Logan Thomas,2251,FALSE,,FALSE,,FALSE,FALSE,TRUE,undrafted or dropped,22
De'Vondre Campbell,3276,FALSE,15,TRUE,19,TRUE,FALSE,FALSE,undrafted or dropped,22
Taysom Hill,4381,FALSE,22,FALSE,,FALSE,FALSE,TRUE,undrafted or dropped,22
Calvin Ridley,4981,TRUE,10,TRUE,10,FALSE,TRUE,FALSE,keeper,8
Fred Warner,5041,FALSE,13,TRUE,11,FALSE,TRUE,FALSE,drafted,8
Courtland Sutton,5045,FALSE,1,TRUE,13,FALSE,TRUE,FALSE,drafted,10
Devin White,6119,TRUE,20,TRUE,20,FALSE,TRUE,FALSE,keeper,15
Tee Higgins,6801,TRUE,7,TRUE,7,FALSE,FALSE,FALSE,keeper,5
Antonio Gibson,6945,FALSE,4,TRUE,12,FALSE,TRUE,FALSE,drafted,9
Joshua Kelley,7045,FALSE,22,FALSE,,TRUE,FALSE,TRUE,undrafted or dropped,22
L'Jarius Sneed,7117,FALSE,20,TRUE,16,FALSE,TRUE,FALSE,drafted,12
Trevor Lawrence,7523,TRUE,5,TRUE,7,FALSE,TRUE,FALSE,keeper,4
Kenneth Gainwell,7567,FALSE,,TRUE,15,FALSE,TRUE,FALSE,drafted,11
Pat Freiermuth,7600,FALSE,11,TRUE,9,FALSE,TRUE,FALSE,drafted,7
Dameon Pierce,8129,FALSE,3,TRUE,2,FALSE,TRUE,FALSE,drafted,1
Kyren Williams,8150,FALSE,22,FALSE,,FALSE,FALSE,TRUE,undrafted or dropped,7
Tyrod Taylor,827,FALSE,,FALSE,,TRUE,FALSE,TRUE,undrafted or dropped,22
Josh Downs,9500,FALSE,,FALSE,,TRUE,FALSE,TRUE,undrafted or dropped,22
Kirk Cousins,1166,FALSE,3,TRUE,7,TRUE,FALSE,FALSE,undrafted or dropped,16
Trey McBride,8130,FALSE,16,FALSE,,FALSE,FALSE,TRUE,undrafted or dropped,9
,,,,,,,,,,
BSplitt,,,,,,,,,,
Brandin Cooks,2197,TRUE,16,TRUE,16,FALSE,TRUE,FALSE,keeper,12
Mike Evans,2216,FALSE,1,TRUE,8,FALSE,TRUE,FALSE,drafted,6
Raheem Mostert,2749,FALSE,14,TRUE,15,FALSE,FALSE,FALSE,drafted,11
Tyreek Hill,3321,TRUE,1,TRUE,2,FALSE,TRUE,FALSE,keeper,1
Evan Engram,4066,FALSE,17,TRUE,14,FALSE,TRUE,FALSE,drafted,11
Christian Kirk,4950,FALSE,6,TRUE,10,FALSE,TRUE,FALSE,drafted,8
Roquan Smith,4960,FALSE,3,TRUE,2,FALSE,TRUE,FALSE,drafted,1
Derwin James,4971,FALSE,7,TRUE,5,FALSE,TRUE,FALSE,drafted,4
Nick Chubb,4988,TRUE,4,TRUE,5,FALSE,TRUE,FALSE,keeper,3
Jessie Bates,5017,FALSE,,FALSE,,FALSE,FALSE,TRUE,undrafted or dropped,19
Foyesade Oluokun,5332,TRUE,15,TRUE,15,FALSE,TRUE,FALSE,keeper,11
David Montgomery,5892,FALSE,1,TRUE,8,FALSE,TRUE,FALSE,drafted,6
D'Andre Swift,6790,FALSE,1,TRUE,2,FALSE,TRUE,FALSE,drafted,1
Jordan Love,6804,FALSE,19,TRUE,10,FALSE,TRUE,FALSE,drafted,8
Gabe Davis,6943,FALSE,4,TRUE,14,TRUE,FALSE,FALSE,undrafted or dropped,22
Dontayvion Wicks,9486,FALSE,,FALSE,,TRUE,FALSE,TRUE,undrafted or dropped,22
Justin Fields,7591,TRUE,6,TRUE,7,FALSE,TRUE,FALSE,keeper,5
Khalil Herbert,7608,FALSE,13,TRUE,11,TRUE,FALSE,FALSE,undrafted or dropped,22
Tyler Allgeier,8132,FALSE,18,TRUE,18,FALSE,TRUE,FALSE,drafted,14
Christian Watson,8167,TRUE,11,TRUE,11,FALSE,TRUE,FALSE,keeper,8
Josh Jacobs,5850,TRUE,2,TRUE,2,FALSE,TRUE,FALSE,keeper,1
Luke Musgrave,9481,FALSE,,TRUE,21,FALSE,TRUE,FALSE,drafted,16
Jaxon Smith-Njigba,9488,FALSE,,TRUE,4,FALSE,FALSE,FALSE,drafted,3
Quentin Johnston,9754,FALSE,,TRUE,5,TRUE,FALSE,FALSE,undrafted or dropped,22
Will Levis,9999,FALSE,,FALSE,,FALSE,FALSE,TRUE,undrafted or dropped,18
,,,,,,,,,,
Thehunter66,,,,,,,,,,
Tommy DeVito,11292,FALSE,,FALSE,,FALSE,FALSE,TRUE,undrafted or dropped,22
Geno Smith,1373,TRUE,10,TRUE,10,FALSE,TRUE,FALSE,keeper,8
Travis Kelce,1466,TRUE,1,TRUE,4,FALSE,TRUE,FALSE,keeper,1
Adam Thielen,1689,FALSE,5,TRUE,17,FALSE,TRUE,FALSE,drafted,13
Davante Adams,2133,TRUE,2,TRUE,4,FALSE,TRUE,FALSE,keeper,1
Eric Kendricks,2350,FALSE,8,TRUE,11,FALSE,TRUE,FALSE,drafted,8
Ezekiel Elliott,3164,FALSE,1,TRUE,14,FALSE,TRUE,FALSE,drafted,11
Michael Thomas,3199,FALSE,,TRUE,11,FALSE,TRUE,FALSE,drafted,8
Kevin Byard,3233,FALSE,10,TRUE,15,FALSE,TRUE,FALSE,drafted,11
Deshaun Watson,4017,TRUE,8,TRUE,8,FALSE,TRUE,FALSE,keeper,6
Alvin Kamara,4035,FALSE,1,TRUE,5,FALSE,TRUE,FALSE,drafted,4
James Conner,4137,FALSE,5,TRUE,6,FALSE,TRUE,FALSE,drafted,5
Samaje Perine,4147,FALSE,,TRUE,17,TRUE,FALSE,FALSE,undrafted or dropped,22
Kendrick Bourne,4454,FALSE,,FALSE,,FALSE,FALSE,TRUE,undrafted or dropped,22
Saquon Barkley,4866,TRUE,1,TRUE,3,FALSE,TRUE,FALSE,keeper,1
Gus Edwards,5248,FALSE,22,FALSE,,FALSE,FALSE,TRUE,undrafted or dropped,21
Jakobi Meyers,5947,FALSE,20,TRUE,16,FALSE,TRUE,FALSE,drafted,12
T.J. Edwards,5960,FALSE,20,TRUE,20,TRUE,FALSE,FALSE,undrafted or dropped,16
Quincy Williams,6214,FALSE,,FALSE,,FALSE,FALSE,TRUE,undrafted or dropped,21
Jerry Jeudy,6783,FALSE,2,TRUE,6,FALSE,TRUE,FALSE,drafted,5
Kamren Curl,7136,FALSE,,TRUE,18,FALSE,TRUE,FALSE,drafted,14
Elijah Moore,7596,FALSE,18,TRUE,14,TRUE,FALSE,FALSE,undrafted or dropped,22
Nate Hobbs,7823,FALSE,,FALSE,,TRUE,FALSE,TRUE,undrafted or dropped,22
Treylon Burks,8135,FALSE,6,TRUE,7,FALSE,TRUE,FALSE,drafted,5
,,,,,,,,,,
jshumaker19,,,,,,,,,,
Jonathan Mingo,10225,FALSE,,TRUE,14,FALSE,FALSE,FALSE,drafted,11
Sam LaPorta,10859,FALSE,,TRUE,15,FALSE,TRUE,FALSE,drafted,11
Jordan Battle,10927,FALSE,,FALSE,,FALSE,FALSE,TRUE,undrafted or dropped,22
DeAndre Hopkins,1426,FALSE,8,TRUE,5,FALSE,FALSE,FALSE,drafted,4
Joe Mixon,4018,FALSE,1,TRUE,1,FALSE,TRUE,FALSE,drafted,1
Patrick Mahomes,4046,TRUE,5,TRUE,7,FALSE,TRUE,FALSE,keeper,4
Kareem Hunt,4098,FALSE,6,TRUE,21,FALSE,TRUE,FALSE,drafted,16
Zaire Franklin,5346,TRUE,20,TRUE,20,FALSE,TRUE,FALSE,keeper,15
DK Metcalf,5846,FALSE,1,TRUE,1,FALSE,TRUE,FALSE,drafted,1
Gardner Minshew,6011,FALSE,22,FALSE,,TRUE,FALSE,TRUE,undrafted or dropped,22
Easton Stick,6185,FALSE,,FALSE,,FALSE,FALSE,TRUE,undrafted or dropped,22
E.J. Speed,6218,FALSE,,FALSE,,FALSE,FALSE,TRUE,undrafted or dropped,22
Justin Herbert,6797,TRUE,8,TRUE,9,FALSE,TRUE,FALSE,keeper,6
Julian Blackmon,7044,FALSE,,FALSE,,TRUE,FALSE,TRUE,undrafted or dropped,22
Amon-Ra St. Brown,7547,TRUE,11,TRUE,11,FALSE,TRUE,FALSE,keeper,8
Jason Pinnock,7816,FALSE,,FALSE,,FALSE,FALSE,TRUE,undrafted or dropped,22
Drake London,8112,FALSE,7,TRUE,2,FALSE,TRUE,FALSE,drafted,1
Romeo Doubs,8121,FALSE,,TRUE,22,FALSE,TRUE,FALSE,drafted,17
Zamir White,8139,FALSE,22,FALSE,,TRUE,FALSE,TRUE,undrafted or dropped,15
Kenneth Walker,8151,TRUE,6,TRUE,8,FALSE,TRUE,FALSE,keeper,5
Devin Lloyd,8329,FALSE,15,FALSE,,FALSE,FALSE,TRUE,undrafted or dropped,22
Zach Charbonnet,9753,FALSE,,TRUE,10,FALSE,TRUE,FALSE,drafted,8
,,,,,,,,,,
lunte,,,,,,,,,,
C.J. Stroud,9758,FALSE,,TRUE,8,FALSE,TRUE,FALSE,drafted,6
Derek Carr,2028,FALSE,16,TRUE,12,TRUE,FALSE,FALSE,undrafted or dropped,22
Derrick Henry,3198,TRUE,1,TRUE,3,FALSE,TRUE,FALSE,keeper,1
Demarcus Robinson,3286,FALSE,,FALSE,,FALSE,FALSE,TRUE,undrafted or dropped,22
Christian McCaffrey,4034,TRUE,1,TRUE,3,FALSE,TRUE,FALSE,keeper,1
T.J. Watt,4070,FALSE,3,TRUE,10,FALSE,TRUE,FALSE,drafted,8
Budda Baker,4081,FALSE,9,TRUE,14,TRUE,FALSE,FALSE,undrafted or dropped,22
George Kittle,4217,FALSE,4,TRUE,3,FALSE,TRUE,FALSE,drafted,2
DJ Moore,4983,FALSE,6,TRUE,4,FALSE,TRUE,FALSE,drafted,3
Josh Allen-QB,4984,TRUE,8,TRUE,8,FALSE,TRUE,FALSE,keeper,6
Shaquille Leonard,4990,FALSE,8,TRUE,18,TRUE,FALSE,FALSE,undrafted or dropped,22
Charvarius Ward,5493,FALSE,,FALSE,,FALSE,FALSE,TRUE,undrafted or dropped,22
Julian Love,5876,FALSE,20,FALSE,,TRUE,FALSE,TRUE,undrafted or dropped,22
Justice Hill,5995,FALSE,,FALSE,,TRUE,FALSE,TRUE,undrafted or dropped,22
AJ Dillon,6828,FALSE,2,TRUE,9,TRUE,FALSE,FALSE,undrafted or dropped,22
Jaylen Waddle,7526,TRUE,1,TRUE,2,FALSE,FALSE,FALSE,keeper,1
Kyle Pitts,7553,FALSE,14,TRUE,4,TRUE,FALSE,FALSE,undrafted or dropped,10
Nick Bolton,7648,TRUE,13,TRUE,13,FALSE,TRUE,FALSE,keeper,10
James Cook,8138,TRUE,14,TRUE,14,FALSE,FALSE,FALSE,keeper,11
Garrett Wilson,8146,TRUE,12,TRUE,12,FALSE,TRUE,FALSE,keeper,9
Jameson Williams,8148,FALSE,12,TRUE,17,FALSE,TRUE,FALSE,drafted,13
Dax Hill,8286,FALSE,,FALSE,,FALSE,FALSE,TRUE,undrafted or dropped,22
Terrel Bernard,8311,FALSE,,FALSE,,FALSE,FALSE,TRUE,undrafted or dropped,20
Aaron Rodgers,96,FALSE,3,TRUE,6,FALSE,FALSE,FALSE,drafted,5
Jordan Addison,9756,FALSE,,TRUE,7,FALSE,TRUE,FALSE,drafted,5
Bobby Okereke,5944,FALSE,,TRUE,15,FALSE,TRUE,FALSE,drafted,11
,,,,,,,,,,
SlyTy,,,,,,,,,,
Alex Singleton,2617,FALSE,,FALSE,,TRUE,FALSE,TRUE,undrafted or dropped,20
Mike Williams,4068,FALSE,8,TRUE,7,TRUE,FALSE,FALSE,undrafted or dropped,22
Dallas Goedert,5022,FALSE,5,TRUE,8,FALSE,TRUE,FALSE,drafted,6
Jonathan Owens,5520,FALSE,,FALSE,,TRUE,FALSE,TRUE,undrafted or dropped,22
Kyler Murray,5849,FALSE,5,TRUE,12,FALSE,TRUE,FALSE,drafted,9
Terry McLaurin,5927,FALSE,2,TRUE,8,FALSE,TRUE,FALSE,drafted,6
Diontae Johnson,5937,FALSE,13,TRUE,9,FALSE,TRUE,FALSE,drafted,7
Logan Wilson,6880,FALSE,16,TRUE,17,FALSE,TRUE,FALSE,drafted,13
Nico Collins,7569,FALSE,,TRUE,19,FALSE,TRUE,FALSE,drafted,14
Michael Carter,7607,FALSE,14,FALSE,,TRUE,FALSE,TRUE,undrafted or dropped,22
Jake Ferguson,8110,FALSE,,FALSE,,FALSE,FALSE,TRUE,undrafted or dropped,14
Desmond Ridder,8159,FALSE,,TRUE,19,TRUE,FALSE,FALSE,undrafted or dropped,22
Sam Howell,8162,TRUE,22,TRUE,21,FALSE,TRUE,FALSE,keeper,17
Jaylen Warren,8228,FALSE,21,TRUE,16,FALSE,FALSE,FALSE,drafted,12
Ty Chandler,8230,FALSE,,FALSE,,TRUE,FALSE,TRUE,undrafted or dropped,22
Jaquan Brisker,8323,FALSE,20,TRUE,16,TRUE,FALSE,FALSE,undrafted or dropped,22
Jahmyr Gibbs,9221,FALSE,,TRUE,1,FALSE,FALSE,FALSE,drafted,1
Chase Brown,9224,FALSE,,TRUE,19,TRUE,FALSE,FALSE,undrafted or dropped,21
Anthony Richardson,9229,FALSE,,TRUE,4,FALSE,FALSE,FALSE,drafted,3
Marvin Mims,9494,FALSE,,TRUE,18,TRUE,FALSE,FALSE,undrafted or dropped,22
Demario Douglas,9501,FALSE,,FALSE,,TRUE,FALSE,TRUE,undrafted or dropped,22
Bijan Robinson,9509,FALSE,,TRUE,1,FALSE,TRUE,FALSE,drafted,1
Zay Flowers,9997,FALSE,,TRUE,10,FALSE,TRUE,FALSE,drafted,8
A.J. Brown,5859,TRUE,1,TRUE,2,FALSE,FALSE,FALSE,keeper,1
